PointID,Lat,Lng,Elevation,LocalX,LocalY,LocalZ,HRMS,VRMS,Status,Age,NumSatellites,HDOP,VDOP,PDOP,TDOP,GDOP,Note,RW5RecordType,RodHeight,InstrumentHeight,InstrumentType,DateTime
5360,45.161053971133,-66.032652565896,5.20243,7363344.6963,2534736.9017,24.5723,0.004,0.005,FIXED,1.0,13,0.779,1.132,1.374,0.771,1.575,EL,GPS,2.0,,GPS,2021-07-21 15:22:19+00:00
5361,45.161049235037,-66.032683323488,4.721612,7363343.1970,2534730.2049,24.0917,0.004,0.005,FIXED,1.0,13,0.778,1.129,1.371,0.769,1.572,EL,GPS,2.0,,GPS,2021-07-21 15:22:33+00:00
5362,45.161043702333,-66.032707572745,4.216105,7363341.4596,2534724.9282,23.5863,0.004,0.005,FIXED,1.0,12,0.807,1.173,1.424,0.82,1.643,EL,GPS,2.0,,GPS,2021-07-21 15:22:47+00:00
5363,45.161039415617,-66.032705175854,4.281373,7363340.1391,2534725.4580,23.6516,0.003,0.005,FIXED,1.0,11,0.894,1.364,1.631,1.014,1.921,EL,GPS,2.0,,GPS,2021-07-21 15:22:57+00:00
5364,45.161042791349,-66.032685710804,4.721772,7363341.2048,2534729.6955,24.0919,0.004,0.006,FIXED,1.0,11,0.777,1.123,1.366,0.764,1.565,EL,GPS,2.0,,GPS,2021-07-21 15:23:09+00:00
5365,45.161048275988,-66.032656903641,5.22724,7363342.9328,2534735.9659,24.5972,0.004,0.005,FIXED,1.0,13,0.97,1.408,1.71,1.037,2.0,EL,GPS,2.0,,GPS,2021-07-21 15:23:21+00:00
5366,45.161054017495,-66.032622471924,5.762476,7363344.7470,2534743.4620,25.1322,0.005,0.007,FIXED,1.0,12,0.869,1.242,1.516,0.884,1.755,EL,GPS,2.0,,GPS,2021-07-21 15:23:34+00:00
5367,45.161057217864,-66.032601028749,5.978533,7363345.7609,2534748.1309,25.3481,0.005,0.007,FIXED,1.0,12,0.838,1.232,1.49,0.861,1.721,EL,GPS,2.0,,GPS,2021-07-21 15:23:49+00:00
5368,45.161077553993,-66.032722676146,4.497104,7363351.8920,2534721.5778,23.8672,0.004,0.006,FIXED,1.0,12,0.891,1.316,1.589,0.948,1.851,EL,GPS,2.0,,GPS,2021-07-21 15:24:18+00:00
5369,45.16109992697,-66.032730476188,4.620782,7363358.7896,2534719.8391,23.9907,0.004,0.006,FIXED,1.0,12,0.891,1.315,1.588,0.947,1.849,EL,GPS,2.0,,GPS,2021-07-21 15:24:30+00:00
5370,45.161130035029,-66.032740163583,4.732144,7363368.0728,2534717.6758,24.1019,0.004,0.006,FIXED,1.0,12,0.838,1.223,1.482,0.855,1.711,EL,GPS,2.0,,GPS,2021-07-21 15:24:42+00:00
5371,45.161131005392,-66.032733960751,4.770155,7363368.3799,2534719.0263,24.1399,0.003,0.005,FIXED,1.0,13,0.837,1.222,1.481,0.854,1.71,EL,GPS,2.0,,GPS,2021-07-21 15:24:52+00:00
5372,45.16110361876,-66.032724390617,4.672935,7363359.9367,2534721.1594,24.0428,0.003,0.005,FIXED,1.0,12,0.89,1.309,1.583,0.944,1.843,EL,GPS,2.0,,GPS,2021-07-21 15:25:13+00:00
5373,45.161083547064,-66.032717665486,4.591815,7363353.7483,2534722.6598,23.9618,0.004,0.006,FIXED,1.0,12,0.799,1.137,1.39,0.788,1.598,EL,GPS,2.0,,GPS,2021-07-21 15:25:38+00:00
5374,45.161182608475,-66.032757547941,5.129261,7363384.2823,2534713.7962,24.4988,0.005,0.008,FIXED,1.0,12,0.912,1.282,1.574,0.928,1.827,EL,GPS,2.0,,GPS,2021-07-21 15:26:15+00:00
5375,45.161172716603,-66.03275437516,5.022887,7363381.2323,2534714.5048,24.3925,0.005,0.008,FIXED,1.0,11,0.913,1.282,1.574,0.928,1.827,EL,GPS,2.0,,GPS,2021-07-21 15:26:25+00:00
5376,45.161161456976,-66.032750680454,4.877978,7363377.7607,2534715.3295,24.2476,0.004,0.006,FIXED,1.0,11,0.77,1.107,1.349,0.754,1.545,EL,GPS,2.0,,GPS,2021-07-21 15:26:37+00:00
5377,45.161162153504,-66.032744269047,4.874975,7363377.9835,2534716.7259,24.2446,0.004,0.005,FIXED,1.0,13,0.77,1.106,1.348,0.754,1.545,EL,GPS,2.0,,GPS,2021-07-21 15:26:47+00:00
5378,45.16117254689,-66.032747421478,4.982287,7363381.1883,2534716.0209,24.3519,0.004,0.006,FIXED,1.0,13,0.77,1.106,1.348,0.754,1.544,EL,GPS,2.0,,GPS,2021-07-21 15:26:58+00:00
5379,45.161181651304,-66.03275048031,5.069939,7363383.9953,2534715.3385,24.4395,0.004,0.006,FIXED,1.0,12,0.914,1.283,1.575,0.929,1.828,EL,GPS,2.0,,GPS,2021-07-21 15:27:10+00:00
5380,45.161270690761,-66.03263855011,8.32299,7363411.6189,2534739.5859,27.6914,0.005,0.008,FIXED,1.0,11,1.142,1.466,1.858,1.177,2.2,EL/2.5mOSBLDS,GPS,2.0,,GPS,2021-07-21 15:44:28+00:00
5381,45.161260972441,-66.032647146847,8.298252,7363408.6082,2534737.7286,27.6668,0.008,0.012,FIXED,1.0,10,1.039,1.229,1.609,0.939,1.863,EL/2.5mOSBLDS,GPS,2.0,,GPS,2021-07-21 15:45:13+00:00
5383,45.161295997053,-66.032428851546,11.073589,7363419.6852,2534785.2550,30.4409,0.006,0.009,FIXED,1.0,12,0.874,1.211,1.493,0.889,1.738,EL/2.5mOSBLDS,GPS,2.0,,GPS,2021-07-21 15:54:57+00:00
5384,45.161303137266,-66.032432604284,11.066927,7363421.8850,2534784.4247,30.4342,0.004,0.006,FIXED,1.0,12,0.876,1.215,1.497,0.893,1.743,EL/2.5mOSBLDS,GPS,2.0,,GPS,2021-07-21 15:55:36+00:00
5386,45.161282242089,-66.032422989344,11.006044,7363415.4458,2534786.5565,30.3734,0.005,0.009,FIXED,1.0,10,1.033,1.38,1.724,1.057,2.022,EL/2.5mOSBLDS,GPS,2.0,,GPS,2021-07-21 15:57:33+00:00
5387,45.161272664997,-66.032431258304,11.026868,7363412.4792,2534784.7704,30.3943,0.006,0.01,FIXED,1.0,12,0.924,1.187,1.505,0.878,1.742,EL/2.5mOSBLDS,GPS,2.0,,GPS,2021-07-21 15:58:10+00:00
5389,45.160993661654,-66.032681540411,4.105959,7363326.0425,2534730.6887,23.4763,0.004,0.007,FIXED,1.0,13,0.784,1.078,1.333,0.759,1.533,CP--6000,GPS,2.0,,GPS,2021-07-21 16:05:00+00:00
